IDs,Organism,Position_F,Identity_F,Position_R,Identity_R,Position_Probe,Identity_Probe
,NA,520655->520679,100%,326052<-326072,100%,258570<-258591,100%
,NA,NA,NA,520759<-520779,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520714<-520735,100%
CM152642.1,"Mycoplasmoides pneumoniae strain TWMP909_2025 isolate MP909_2025 chromosome, complete sequence, whole genome shotgun sequence",165922->165946,100%,166027<-166047,100%,130412<-130433,95%
,NA,181005->181029,100%,181110<-181130,100%,165982<-166003,100%
,NA,443376->443400,100%,248551<-248571,100%,181065<-181086,100%
,NA,NA,NA,443480<-443500,100%,248506<-248527,95%
,NA,NA,NA,NA,NA,443435<-443456,100%
NZ_CP017340.1,"Mycoplasmoides pneumoniae strain RI3 chromosome, complete genome",165993->166017,100%,166097<-166117,100%,130416<-130437,95%
,NA,179533->179557,100%,179637<-179657,100%,166052<-166073,100%
,NA,441737->441761,100%,246921<-246941,100%,179592<-179613,100%
,NA,NA,NA,441841<-441861,100%,246876<-246897,95%
,NA,NA,NA,NA,NA,441796<-441817,100%
NZ_CP010548.1,"Mycoplasmoides pneumoniae strain M2192 chromosome, complete genome",165984->166008,100%,166088<-166108,100%,130411<-130432,95%
,NA,179525->179549,100%,179629<-179649,100%,166043<-166064,100%
,NA,441534->441558,100%,246897<-246917,100%,179584<-179605,100%
,NA,NA,NA,441638<-441658,100%,246852<-246873,95%
,NA,NA,NA,NA,NA,441593<-441614,100%
CM152646.1,"Mycoplasmoides pneumoniae strain TWMP991_2025 isolate MP991_2025 chromosome, complete sequence, whole genome shotgun sequence",165920->165944,100%,166025<-166045,100%,130410<-130431,95%
,NA,181004->181028,100%,181108<-181128,100%,165980<-166001,100%
,NA,443280->443304,100%,248550<-248570,100%,181063<-181084,100%
,NA,NA,NA,443384<-443404,100%,248505<-248526,95%
,NA,NA,NA,NA,NA,443339<-443360,100%
NZ_CP010540.1,"Mycoplasmoides pneumoniae 39443 chromosome, complete genome",166006->166030,100%,166110<-166130,100%,130421<-130442,95%
,NA,179546->179570,100%,179650<-179670,100%,166065<-166086,100%
,NA,441604->441628,100%,246922<-246942,100%,179605<-179626,100%
,NA,NA,NA,441708<-441728,100%,246877<-246898,95%
,NA,NA,NA,NA,NA,441663<-441684,100%
CP179182.1,"Mycoplasmoides pneumoniae strain 90396.fasta chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130340<-130361,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443264->443288,100%,248469<-248489,100%,180991<-181012,100%
,NA,NA,NA,443368<-443388,100%,248424<-248445,95%
,NA,NA,NA,NA,NA,443323<-443344,100%
NZ_CP039762.1,"Mycoplasmoides pneumoniae strain 16-710 chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130441<-130462,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443383->443407,100%,248564<-248584,100%,181090<-181111,100%
,NA,NA,NA,443487<-443507,100%,248519<-248540,95%
,NA,NA,NA,NA,NA,443442<-443463,100%
NZ_CP039766.1,"Mycoplasmoides pneumoniae strain 16-004 chromosome, complete genome",165925->165949,100%,166029<-166049,100%,130417<-130438,95%
,NA,181005->181029,100%,181109<-181129,100%,165984<-166005,100%
,NA,443405->443429,100%,248537<-248557,100%,181064<-181085,100%
,NA,NA,NA,443509<-443529,100%,248492<-248513,95%
,NA,NA,NA,NA,NA,443464<-443485,100%
CP179051.1,"Mycoplasmoides pneumoniae strain 88509.fasta chromosome, complete genome",243432->243456,100%,243536<-243556,100%,207920<-207941,95%
,NA,258512->258536,100%,258616<-258636,100%,243491<-243512,100%
,NA,520652->520676,100%,326049<-326069,100%,258571<-258592,100%
,NA,NA,NA,520756<-520776,100%,326004<-326025,95%
,NA,NA,NA,NA,NA,520711<-520732,100%
NZ_CP010544.1,"Mycoplasmoides pneumoniae 85084 chromosome, complete genome",165982->166006,100%,166086<-166106,100%,130463<-130484,95%
,NA,181062->181086,100%,181166<-181186,100%,166041<-166062,100%
,NA,443247->443271,100%,248595<-248615,100%,181121<-181142,100%
,NA,NA,NA,443351<-443371,100%,248550<-248571,95%
,NA,NA,NA,NA,NA,443306<-443327,100%
CP178971.1,"Mycoplasmoides pneumoniae strain 87668.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207933<-207954,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520664->520688,100%,326061<-326081,100%,258580<-258601,100%
,NA,NA,NA,520768<-520788,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CP179159.1,"Mycoplasmoides pneumoniae strain 89905.fasta chromosome, complete genome",165954->165978,100%,166058<-166078,100%,130438<-130459,95%
,NA,181034->181058,100%,181138<-181158,100%,166013<-166034,100%
,NA,443354->443378,100%,248571<-248591,100%,181093<-181114,100%
,NA,NA,NA,443458<-443478,100%,248526<-248547,95%
,NA,NA,NA,NA,NA,443413<-443434,100%
CP039787.1,"Mycoplasmoides pneumoniae strain 10-1110 chromosome, complete genome",165962->165986,100%,166066<-166086,100%,130446<-130467,95%
,NA,181042->181066,100%,181146<-181166,100%,166021<-166042,100%
,NA,443404->443428,100%,248576<-248596,100%,181101<-181122,100%
,NA,NA,NA,443508<-443528,100%,248531<-248552,95%
,NA,NA,NA,NA,NA,443463<-443484,100%
CP178981.1,"Mycoplasmoides pneumoniae strain 87754.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520663->520687,100%,326060<-326080,100%,258583<-258604,100%
,NA,NA,NA,520767<-520787,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520722<-520743,100%
NZ_CP020711.1,"Mycoplasmoides pneumoniae strain S4-tet-R chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130430<-130451,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443323->443347,100%,248567<-248587,100%,181090<-181111,100%
,NA,NA,NA,443427<-443447,100%,248522<-248543,95%
,NA,NA,NA,NA,NA,443382<-443403,100%
CP039777.1,"Mycoplasmoides pneumoniae strain 11-949 chromosome, complete genome",166009->166033,100%,166113<-166133,100%,130432<-130453,95%
,NA,179549->179573,100%,179653<-179673,100%,166068<-166089,100%
,NA,441504->441528,100%,246920<-246940,100%,179608<-179629,100%
,NA,NA,NA,441608<-441628,100%,246875<-246896,95%
,NA,NA,NA,NA,NA,441563<-441584,100%
CP039773.1,"Mycoplasmoides pneumoniae strain 12-091 chromosome, complete genome",165948->165972,100%,166052<-166072,100%,130438<-130459,95%
,NA,181028->181052,100%,181132<-181152,100%,166007<-166028,100%
,NA,443353->443377,100%,248570<-248590,100%,181087<-181108,100%
,NA,NA,NA,443457<-443477,100%,248525<-248546,95%
,NA,NA,NA,NA,NA,443412<-443433,100%
CP010551.1,"Mycoplasma pneumoniae PO1, complete genome",165976->166000,100%,166080<-166100,100%,130412<-130433,95%
,NA,179516->179540,100%,179620<-179640,100%,166035<-166056,100%
,NA,441587->441611,100%,246884<-246904,100%,179575<-179596,100%
,NA,NA,NA,441691<-441711,100%,246839<-246860,95%
,NA,NA,NA,NA,NA,441646<-441667,100%
CP039783.1,"Mycoplasmoides pneumoniae strain 11-107 chromosome, complete genome",165973->165997,100%,166077<-166097,100%,130451<-130472,95%
,NA,181059->181083,100%,181163<-181183,100%,166032<-166053,100%
,NA,443193->443217,100%,248596<-248616,100%,181118<-181139,100%
,NA,NA,NA,443297<-443317,100%,248551<-248572,95%
,NA,NA,NA,NA,NA,443252<-443273,100%
CP179082.1,"Mycoplasmoides pneumoniae strain 88843.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520663->520687,100%,326060<-326080,100%,258581<-258602,100%
,NA,NA,NA,520767<-520787,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520722<-520743,100%
CP179155.1,"Mycoplasmoides pneumoniae strain 89848.fasta chromosome, complete genome",243437->243461,100%,243541<-243561,100%,207927<-207948,95%
,NA,258517->258541,100%,258621<-258641,100%,243496<-243517,100%
,NA,520656->520680,100%,326053<-326073,100%,258576<-258597,100%
,NA,NA,NA,520760<-520780,100%,326008<-326029,95%
,NA,NA,NA,NA,NA,520715<-520736,100%
CP179086.1,"Mycoplasmoides pneumoniae strain 89078.fasta chromosome, complete genome",165932->165956,100%,166036<-166056,100%,130424<-130445,95%
,NA,181012->181036,100%,181116<-181136,100%,165991<-166012,100%
,NA,443323->443347,100%,248549<-248569,100%,181071<-181092,100%
,NA,NA,NA,443427<-443447,100%,248504<-248525,95%
,NA,NA,NA,NA,NA,443382<-443403,100%
CP179151.1,"Mycoplasmoides pneumoniae strain 89836.fasta chromosome, complete genome",165927->165951,100%,166031<-166051,100%,130417<-130438,95%
,NA,181007->181031,100%,181111<-181131,100%,165986<-166007,100%
,NA,443230->443254,100%,248555<-248575,100%,181066<-181087,100%
,NA,NA,NA,443334<-443354,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443289<-443310,100%
CP178979.1,"Mycoplasmoides pneumoniae strain 87747.fasta chromosome, complete genome",165937->165961,100%,166041<-166061,100%,130429<-130450,95%
,NA,181017->181041,100%,181121<-181141,100%,165996<-166017,100%
,NA,443351->443375,100%,248556<-248576,100%,181076<-181097,100%
,NA,NA,NA,443455<-443475,100%,248511<-248532,95%
,NA,NA,NA,NA,NA,443410<-443431,100%
CP179076.1,"Mycoplasmoides pneumoniae strain 88778.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207930<-207951,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520658->520682,100%,326055<-326075,100%,258579<-258600,100%
,NA,NA,NA,520762<-520782,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520717<-520738,100%
NZ_CP169365.1,"Mycoplasmoides pneumoniae strain RU-CSP-11 chromosome, complete genome",245106->245130,100%,245210<-245230,100%,209590<-209611,95%
,NA,260193->260217,100%,260297<-260317,100%,245165<-245186,100%
,NA,522361->522385,100%,327745<-327765,100%,260252<-260273,100%
,NA,NA,NA,522465<-522485,100%,327700<-327721,95%
,NA,NA,NA,NA,NA,522420<-522441,100%
CP178989.1,"Mycoplasmoides pneumoniae strain 87812.fasta chromosome, complete genome",243448->243472,100%,243552<-243572,100%,207932<-207953,95%
,NA,258528->258552,100%,258632<-258652,100%,243507<-243528,100%
,NA,520667->520691,100%,326064<-326084,100%,258587<-258608,100%
,NA,NA,NA,520771<-520791,100%,326019<-326040,95%
,NA,NA,NA,NA,NA,520726<-520747,100%
NZ_CP039787.1,"Mycoplasmoides pneumoniae strain 10-1110 chromosome, complete genome",165962->165986,100%,166066<-166086,100%,130446<-130467,95%
,NA,181042->181066,100%,181146<-181166,100%,166021<-166042,100%
,NA,443404->443428,100%,248576<-248596,100%,181101<-181122,100%
,NA,NA,NA,443508<-443528,100%,248531<-248552,95%
,NA,NA,NA,NA,NA,443463<-443484,100%
CP179040.1,"Mycoplasmoides pneumoniae strain 88245.fasta chromosome, complete genome",165926->165950,100%,166030<-166050,100%,130416<-130437,95%
,NA,181006->181030,100%,181110<-181130,100%,165985<-166006,100%
,NA,443231->443255,100%,248556<-248576,100%,181065<-181086,100%
,NA,NA,NA,443335<-443355,100%,248511<-248532,95%
,NA,NA,NA,NA,NA,443290<-443311,100%
NZ_CP039777.1,"Mycoplasmoides pneumoniae strain 11-949 chromosome, complete genome",166009->166033,100%,166113<-166133,100%,130432<-130453,95%
,NA,179549->179573,100%,179653<-179673,100%,166068<-166089,100%
,NA,441504->441528,100%,246920<-246940,100%,179608<-179629,100%
,NA,NA,NA,441608<-441628,100%,246875<-246896,95%
,NA,NA,NA,NA,NA,441563<-441584,100%
CP020711.1,"Mycoplasmoides pneumoniae strain S4-tet-R chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130430<-130451,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443323->443347,100%,248567<-248587,100%,181090<-181111,100%
,NA,NA,NA,443427<-443447,100%,248522<-248543,95%
,NA,NA,NA,NA,NA,443382<-443403,100%
NZ_CP039773.1,"Mycoplasmoides pneumoniae strain 12-091 chromosome, complete genome",165948->165972,100%,166052<-166072,100%,130438<-130459,95%
,NA,181028->181052,100%,181132<-181152,100%,166007<-166028,100%
,NA,443353->443377,100%,248570<-248590,100%,181087<-181108,100%
,NA,NA,NA,443457<-443477,100%,248525<-248546,95%
,NA,NA,NA,NA,NA,443412<-443433,100%
NZ_CP039783.1,"Mycoplasmoides pneumoniae strain 11-107 chromosome, complete genome",165973->165997,100%,166077<-166097,100%,130451<-130472,95%
,NA,181059->181083,100%,181163<-181183,100%,166032<-166053,100%
,NA,443193->443217,100%,248596<-248616,100%,181118<-181139,100%
,NA,NA,NA,443297<-443317,100%,248551<-248572,95%
,NA,NA,NA,NA,NA,443252<-443273,100%
NZ_CP010551.1,"Mycoplasmoides pneumoniae PO1 chromosome, complete genome",165976->166000,100%,166080<-166100,100%,130412<-130433,95%
,NA,179516->179540,100%,179620<-179640,100%,166035<-166056,100%
,NA,441587->441611,100%,246884<-246904,100%,179575<-179596,100%
,NA,NA,NA,441691<-441711,100%,246839<-246860,95%
,NA,NA,NA,NA,NA,441646<-441667,100%
CP169365.1,"Mycoplasmoides pneumoniae strain RU-CSP-11 chromosome, complete genome",245106->245130,100%,245210<-245230,100%,209590<-209611,95%
,NA,260193->260217,100%,260297<-260317,100%,245165<-245186,100%
,NA,522361->522385,100%,327745<-327765,100%,260252<-260273,100%
,NA,NA,NA,522465<-522485,100%,327700<-327721,95%
,NA,NA,NA,NA,NA,522420<-522441,100%
CP178998.1,"Mycoplasmoides pneumoniae strain 87933.fasta chromosome, complete genome",165954->165978,100%,166058<-166078,100%,130438<-130459,95%
,NA,181034->181058,100%,181138<-181158,100%,166013<-166034,100%
,NA,443354->443378,100%,248619<-248639,100%,181093<-181114,100%
,NA,NA,NA,443458<-443478,100%,248574<-248595,95%
,NA,NA,NA,NA,NA,443413<-443434,100%
CP179067.1,"Mycoplasmoides pneumoniae strain 88626.fasta chromosome, complete genome",165929->165953,100%,166033<-166053,100%,130417<-130438,95%
,NA,181009->181033,100%,181113<-181133,100%,165988<-166009,100%
,NA,443237->443261,100%,248562<-248582,100%,181068<-181089,100%
,NA,NA,NA,443341<-443361,100%,248517<-248538,95%
,NA,NA,NA,NA,NA,443296<-443317,100%
CP179140.1,"Mycoplasmoides pneumoniae strain 89690.fasta chromosome, complete genome",243438->243462,100%,243542<-243562,100%,207932<-207953,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520660->520684,100%,326054<-326074,100%,258577<-258598,100%
,NA,NA,NA,520764<-520784,100%,326009<-326030,95%
,NA,NA,NA,NA,NA,520719<-520740,100%
CP179097.1,"Mycoplasmoides pneumoniae strain 89197.fasta chromosome, complete genome",165926->165950,100%,166030<-166050,100%,130416<-130437,95%
,NA,181006->181030,100%,181110<-181130,100%,165985<-166006,100%
,NA,443232->443256,100%,248557<-248577,100%,181065<-181086,100%
,NA,NA,NA,443336<-443356,100%,248512<-248533,95%
,NA,NA,NA,NA,NA,443291<-443312,100%
CP010548.1,"Mycoplasma pneumoniae strain M2192, complete genome",165984->166008,100%,166088<-166108,100%,130411<-130432,95%
,NA,179525->179549,100%,179629<-179649,100%,166043<-166064,100%
,NA,441534->441558,100%,246897<-246917,100%,179584<-179605,100%
,NA,NA,NA,441638<-441658,100%,246852<-246873,95%
,NA,NA,NA,NA,NA,441593<-441614,100%
CP179144.1,"Mycoplasmoides pneumoniae strain 89814.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520660->520684,100%,326057<-326077,100%,258581<-258602,100%
,NA,NA,NA,520764<-520784,100%,326012<-326033,95%
,NA,NA,NA,NA,NA,520719<-520740,100%
CP017340.1,"Mycoplasmoides pneumoniae strain RI3 chromosome, complete genome",165993->166017,100%,166097<-166117,100%,130416<-130437,95%
,NA,179533->179557,100%,179637<-179657,100%,166052<-166073,100%
,NA,441737->441761,100%,246921<-246941,100%,179592<-179613,100%
,NA,NA,NA,441841<-441861,100%,246876<-246897,95%
,NA,NA,NA,NA,NA,441796<-441817,100%
CP179093.1,"Mycoplasmoides pneumoniae strain 89187.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207931<-207952,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520660->520684,100%,326057<-326077,100%,258580<-258601,100%
,NA,NA,NA,520764<-520784,100%,326012<-326033,95%
,NA,NA,NA,NA,NA,520719<-520740,100%
CP178964.1,"Mycoplasmoides pneumoniae strain 87660.fasta chromosome, complete genome",165926->165950,100%,166030<-166050,100%,130418<-130439,95%
,NA,181006->181030,100%,181110<-181130,100%,165985<-166006,100%
,NA,443406->443430,100%,248539<-248559,100%,181065<-181086,100%
,NA,NA,NA,443510<-443530,100%,248494<-248515,95%
,NA,NA,NA,NA,NA,443465<-443486,100%
CP010540.1,"Mycoplasma pneumoniae 39443, complete genome",166006->166030,100%,166110<-166130,100%,130421<-130442,95%
,NA,179546->179570,100%,179650<-179670,100%,166065<-166086,100%
,NA,441604->441628,100%,246922<-246942,100%,179605<-179626,100%
,NA,NA,NA,441708<-441728,100%,246877<-246898,95%
,NA,NA,NA,NA,NA,441663<-441684,100%
CP039762.1,"Mycoplasmoides pneumoniae strain 16-710 chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130441<-130462,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443383->443407,100%,248564<-248584,100%,181090<-181111,100%
,NA,NA,NA,443487<-443507,100%,248519<-248540,95%
,NA,NA,NA,NA,NA,443442<-443463,100%
CP178994.1,"Mycoplasmoides pneumoniae strain 87874.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207930<-207951,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520659->520683,100%,326056<-326076,100%,258581<-258602,100%
,NA,NA,NA,520763<-520783,100%,326011<-326032,95%
,NA,NA,NA,NA,NA,520718<-520739,100%
CP039766.1,"Mycoplasmoides pneumoniae strain 16-004 chromosome, complete genome",165925->165949,100%,166029<-166049,100%,130417<-130438,95%
,NA,181005->181029,100%,181109<-181129,100%,165984<-166005,100%
,NA,443405->443429,100%,248537<-248557,100%,181064<-181085,100%
,NA,NA,NA,443509<-443529,100%,248492<-248513,95%
,NA,NA,NA,NA,NA,443464<-443485,100%
CP178990.1,"Mycoplasmoides pneumoniae strain 87813.fasta chromosome, complete genome",165936->165960,100%,166040<-166060,100%,130416<-130437,95%
,NA,181016->181040,100%,181120<-181140,100%,165995<-166016,100%
,NA,443392->443416,100%,248505<-248525,100%,181075<-181096,100%
,NA,NA,NA,443496<-443516,100%,248460<-248481,95%
,NA,NA,NA,NA,NA,443451<-443472,100%
CP010544.1,"Mycoplasma pneumoniae 85084, complete genome",165982->166006,100%,166086<-166106,100%,130463<-130484,95%
,NA,181062->181086,100%,181166<-181186,100%,166041<-166062,100%
,NA,443247->443271,100%,248595<-248615,100%,181121<-181142,100%
,NA,NA,NA,443351<-443371,100%,248550<-248571,95%
,NA,NA,NA,NA,NA,443306<-443327,100%
CP179148.1,"Mycoplasmoides pneumoniae strain 89830.fasta chromosome, complete genome",165962->165986,100%,166066<-166086,100%,130452<-130473,95%
,NA,181042->181066,100%,181146<-181166,100%,166021<-166042,100%
,NA,443366->443390,100%,248631<-248651,100%,181101<-181122,100%
,NA,NA,NA,443470<-443490,100%,248586<-248607,95%
,NA,NA,NA,NA,NA,443425<-443446,100%
CP179129.1,"Mycoplasmoides pneumoniae strain 89440.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520659->520683,100%,326056<-326076,100%,258579<-258600,100%
,NA,NA,NA,520763<-520783,100%,326011<-326032,95%
,NA,NA,NA,NA,NA,520718<-520739,100%
CP017329.1,"Mycoplasmoides pneumoniae strain E57 chromosome, complete genome",165961->165985,100%,166065<-166085,100%,130397<-130418,95%
,NA,179501->179525,100%,179605<-179625,100%,166020<-166041,100%
,NA,441545->441569,100%,246863<-246883,100%,179560<-179581,100%
,NA,NA,NA,441649<-441669,100%,246818<-246839,95%
,NA,NA,NA,NA,NA,441604<-441625,100%
AP035797.1,"Mycoplasmoides pneumoniae TA9171 DNA, complete genome",165943->165967,100%,166047<-166067,100%,130426<-130447,95%
,NA,181023->181047,100%,181127<-181147,100%,166002<-166023,100%
,NA,443174->443198,100%,248510<-248530,100%,181082<-181103,100%
,NA,NA,NA,443278<-443298,100%,248465<-248486,95%
,NA,NA,NA,NA,NA,443233<-443254,100%
CP179002.1,"Mycoplasmoides pneumoniae strain 87951.fasta chromosome, complete genome",487139->487163,100%,487243<-487263,100%,451571<-451592,95%
,NA,500679->500703,100%,500783<-500803,100%,487198<-487219,100%
,NA,762848->762872,100%,568080<-568100,100%,500738<-500759,100%
,NA,NA,NA,762952<-762972,100%,568035<-568056,95%
,NA,NA,NA,NA,NA,762907<-762928,100%
CP179006.1,"Mycoplasmoides pneumoniae strain 87971.fasta chromosome, complete genome",165924->165948,100%,166028<-166048,100%,130416<-130437,95%
,NA,181004->181028,100%,181108<-181128,100%,165983<-166004,100%
,NA,443404->443428,100%,248537<-248557,100%,181063<-181084,100%
,NA,NA,NA,443508<-443528,100%,248492<-248513,95%
,NA,NA,NA,NA,NA,443463<-443484,100%
AP035793.1,"Mycoplasmoides pneumoniae TA6350 DNA, complete genome",165959->165983,100%,166063<-166083,100%,130439<-130460,95%
,NA,181039->181063,100%,181143<-181163,100%,166018<-166039,100%
,NA,443346->443370,100%,248575<-248595,100%,181098<-181119,100%
,NA,NA,NA,443450<-443470,100%,248530<-248551,95%
,NA,NA,NA,NA,NA,443405<-443426,100%
NZ_CP017334.1,"Mycoplasmoides pneumoniae strain K27 chromosome, complete genome",165965->165989,100%,166069<-166089,100%,130385<-130406,95%
,NA,179506->179530,100%,179610<-179630,100%,166024<-166045,100%
,NA,441395->441419,100%,246887<-246907,100%,179565<-179586,100%
,NA,NA,NA,441499<-441519,100%,246842<-246863,95%
,NA,NA,NA,NA,NA,441454<-441475,100%
NZ_CP020691.1,"Mycoplasmoides pneumoniae strain S68-tet-R chromosome, complete genome",165946->165970,100%,166050<-166070,100%,130427<-130448,95%
,NA,181026->181050,100%,181130<-181150,100%,166005<-166026,100%
,NA,443298->443322,100%,248557<-248577,100%,181085<-181106,100%
,NA,NA,NA,443402<-443422,100%,248512<-248533,95%
,NA,NA,NA,NA,NA,443357<-443378,100%
CP178926.1,"Mycoplasmoides pneumoniae strain 87311.fasta chromosome, complete genome",243432->243456,100%,243536<-243556,100%,207922<-207943,95%
,NA,258512->258536,100%,258616<-258636,100%,243491<-243512,100%
,NA,520651->520675,100%,326048<-326068,100%,258571<-258592,100%
,NA,NA,NA,520755<-520775,100%,326003<-326024,95%
,NA,NA,NA,NA,NA,520710<-520731,100%
CM152632.1,"Mycoplasmoides pneumoniae strain TWMP475_2025 isolate MP475_2025 chromosome, complete sequence, whole genome shotgun sequence",165960->165984,100%,166065<-166085,100%,130448<-130469,95%
,NA,181042->181066,100%,181147<-181167,100%,166020<-166041,100%
,NA,443420->443444,100%,443524<-443544,100%,181102<-181123,100%
,NA,NA,NA,NA,NA,443479<-443500,100%
CM152636.1,"Mycoplasmoides pneumoniae strain TWMP643_2025 isolate MP643_2025 chromosome, complete sequence, whole genome shotgun sequence",165947->165971,100%,166052<-166072,100%,130438<-130459,95%
,NA,181030->181054,100%,181135<-181155,100%,166007<-166028,100%
,NA,443256->443280,100%,248575<-248595,100%,181090<-181111,100%
,NA,NA,NA,443360<-443380,100%,248530<-248551,95%
,NA,NA,NA,NA,NA,443315<-443336,100%
NZ_CP017330.1,"Mycoplasmoides pneumoniae strain 549 chromosome, complete genome",165959->165983,100%,166063<-166083,100%,130432<-130453,95%
,NA,181039->181063,100%,181143<-181163,100%,166018<-166039,100%
,NA,443372->443396,100%,248569<-248589,100%,181098<-181119,100%
,NA,NA,NA,443476<-443496,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443431<-443452,100%
NZ_CP010538.1,"Mycoplasmoides pneumoniae PI 1428 chromosome, complete genome",165945->165969,100%,166049<-166069,100%,130427<-130448,95%
,NA,181025->181049,100%,181129<-181149,100%,166004<-166025,100%
,NA,443325->443349,100%,248558<-248578,100%,181084<-181105,100%
,NA,NA,NA,443429<-443449,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443384<-443405,100%
CP179102.1,"Mycoplasmoides pneumoniae strain 89214.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520658->520682,100%,326056<-326076,100%,258579<-258600,100%
,NA,NA,NA,520762<-520782,100%,326011<-326032,95%
,NA,NA,NA,NA,NA,520717<-520738,100%
CP179025.1,"Mycoplasmoides pneumoniae strain 88074.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520658->520682,100%,326055<-326075,100%,258579<-258600,100%
,NA,NA,NA,520762<-520782,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520717<-520738,100%
NZ_CP017338.1,"Mycoplasmoides pneumoniae strain 1134 chromosome, complete genome",165983->166007,100%,166087<-166107,100%,130398<-130419,95%
,NA,179513->179537,100%,179617<-179637,100%,166042<-166063,100%
,NA,441531->441555,100%,246885<-246905,100%,179572<-179593,100%
,NA,NA,NA,441635<-441655,100%,246840<-246861,95%
,NA,NA,NA,NA,NA,441590<-441611,100%
CP179106.1,"Mycoplasmoides pneumoniae strain 89229.fasta chromosome, complete genome",165944->165968,100%,166048<-166068,100%,130434<-130455,95%
,NA,181024->181048,100%,181128<-181148,100%,166003<-166024,100%
,NA,443341->443365,100%,248558<-248578,100%,181083<-181104,100%
,NA,NA,NA,443445<-443465,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443400<-443421,100%
CP178942.1,"Mycoplasmoides pneumoniae strain 87347.fasta chromosome, complete genome",165927->165951,100%,166031<-166051,100%,130417<-130438,95%
,NA,181007->181031,100%,181111<-181131,100%,165986<-166007,100%
,NA,443231->443255,100%,248558<-248578,100%,181066<-181087,100%
,NA,NA,NA,443335<-443355,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443290<-443311,100%
CP169364.1,"Mycoplasmoides pneumoniae strain RU-CSP-A chromosome, complete genome",371802->371826,100%,371906<-371926,100%,336290<-336311,95%
,NA,386883->386907,100%,386987<-387007,100%,371861<-371882,100%
,NA,649084->649108,100%,454421<-454441,100%,386942<-386963,100%
,NA,NA,NA,649188<-649208,100%,454376<-454397,95%
,NA,NA,NA,NA,NA,649143<-649164,100%
NZ_CP039786.1,"Mycoplasmoides pneumoniae strain 10-1213 chromosome, complete genome",165912->165936,100%,166016<-166036,100%,130402<-130423,95%
,NA,180992->181016,100%,181096<-181116,100%,165971<-165992,100%
,NA,443310->443334,100%,248539<-248559,100%,181051<-181072,100%
,NA,NA,NA,443414<-443434,100%,248494<-248515,95%
,NA,NA,NA,NA,NA,443369<-443390,100%
CP179041.1,"Mycoplasmoides pneumoniae strain 88247.fasta chromosome, complete genome",243436->243460,100%,243540<-243560,100%,207926<-207947,95%
,NA,258516->258540,100%,258620<-258640,100%,243495<-243516,100%
